,season,Week,home,away,favorite,homeML,awayML,favorite_odds
LAC_DEN,2017,1,LAC,DEN,DEN,120,-140,0.562043796
NO_MIN,2017,1,NO,MIN,MIN,142,-165,0.601083848
NYG_DAL,2017,1,NYG,DAL,DAL,220,-270,0.700162075
SEA_GB,2017,1,SEA,GB,GB,120,-140,0.562043796
CAR_SF,2017,1,CAR,SF,CAR,-220,180,0.658119658
IND_LAR,2017,1,IND,LAR,LAR,170,-200,0.642857143
NYJ_BUF,2017,1,NYJ,BUF,BUF,300,-400,0.761904762
ATL_CHI,2017,1,ATL,CHI,ATL,-310,250,0.725752508
BAL_CIN,2017,1,BAL,CIN,CIN,125,-145,0.571115974
PIT_CLE,2017,1,PIT,CLE,PIT,-550,400,0.808823529
ARI_DET,2017,1,ARI,DET,ARI,-130,110,0.542743539
JAC_HOU,2017,1,JAC,HOU,HOU,200,-250,0.681818182
OAK_TEN,2017,1,OAK,TEN,TEN,120,-140,0.562043796
PHI_WAS,2017,1,PHI,WAS,PHI,-130,110,0.542743539
KC_NE,2017,1,KC,NE,NE,400,-550,0.808823529
