,season,Week,home,away,favorite,homeML,awayML,favorite_odds
HOU_BAL,2017,12,HOU,BAL,BAL,310.0,-410.0,0.7672295755362848
GB_PIT,2017,12,GB,PIT,PIT,750.0,-1200.0,0.8869565217391304
NO_LAR,2017,12,NO,LAR,LAR,130.0,-150.0,0.5798319327731092
JAC_ARI,2017,12,JAC,ARI,JAC,-270.0,220.0,0.7001620745542949
DEN_OAK,2017,12,DEN,OAK,OAK,180.0,-220.0,0.6581196581196581
SEA_SF,2017,12,SEA,SF,SEA,-310.0,250.0,0.725752508361204
TB_ATL,2017,12,TB,ATL,ATL,450.0,-650.0,0.8265895953757225
CLE_CIN,2017,12,CLE,CIN,CIN,300.0,-400.0,0.7619047619047619
TEN_IND,2017,12,TEN,IND,TEN,-180.0,150.0,0.6164383561643836
BUF_KC,2017,12,BUF,KC,KC,320.0,-420.0,0.7723292469352013
MIA_NE,2017,12,MIA,NE,NE,1000.0,-2000.0,0.9128630705394192
CAR_NYJ,2017,12,CAR,NYJ,CAR,-260.0,210.0,0.6912521440823327
CHI_PHI,2017,12,CHI,PHI,PHI,750.0,-1200.0,0.8869565217391304
NYG_WAS,2017,12,NYG,WAS,WAS,295.0,-390.0,0.758680128047279
LAC_DAL,2017,12,LAC,DAL,DAL,-115.0,-105.0,0.5108342361863488
MIN_DET,2017,12,MIN,DET,MIN,-145.0,125.0,0.5711159737417943
