,season,Week,home,away,favorite,homeML,awayML,favorite_odds
DEN_KC,2017,8,DEN,KC,KC,280.0,-360.0,0.7483588621444202
PIT_DET,2017,8,PIT,DET,PIT,-180.0,150.0,0.6164383561643836
DAL_WAS,2017,8,DAL,WAS,DAL,-165.0,142.0,0.6010838476591901
HOU_SEA,2017,8,HOU,SEA,SEA,230.0,-280.0,0.7085889570552146
OAK_BUF,2017,8,OAK,BUF,BUF,105.0,-125.0,0.5324675324675325
IND_CIN,2017,8,IND,CIN,CIN,425.0,-600.0,0.8181818181818182
LAC_NE,2017,8,LAC,NE,NE,240.0,-300.0,0.7183098591549295
CHI_NO,2017,8,CHI,NO,NO,310.0,-410.0,0.7672295755362848
ATL_NYJ,2017,8,ATL,NYJ,ATL,-310.0,250.0,0.725752508361204
SF_PHI,2017,8,SF,PHI,PHI,550.0,-800.0,0.8524590163934427
CAR_TB,2017,8,CAR,TB,TB,105.0,-125.0,0.5324675324675325
MIN_CLE,2017,8,MIN,CLE,MIN,-600.0,425.0,0.8181818181818182
MIA_BAL,2017,8,MIA,BAL,BAL,140.0,-160.0,0.5962732919254659
