,season,Week,home,away,favorite,homeML,awayML,favorite_odds
MIA_CAR,2017,10,MIA,CAR,CAR,300.0,-400.0,0.7619047619047619
NE_DEN,2017,10,NE,DEN,NE,-340.0,270.0,0.740871613663133
DAL_ATL,2017,10,DAL,ATL,ATL,170.0,-200.0,0.6428571428571429
NYG_SF,2017,10,NYG,SF,NYG,-160.0,140.0,0.5962732919254659
HOU_LAR,2017,10,HOU,LAR,LAR,450.0,-650.0,0.8265895953757225
NO_BUF,2017,10,NO,BUF,NO,-135.0,115.0,0.552594002855783
GB_CHI,2017,10,GB,CHI,CHI,190.0,-240.0,0.6718146718146719
CLE_DET,2017,10,CLE,DET,DET,375.0,-500.0,0.7983193277310925
PIT_IND,2017,10,PIT,IND,PIT,-600.0,425.0,0.8181818181818182
LAC_JAC,2017,10,LAC,JAC,JAC,190.0,-240.0,0.6718146718146719
NYJ_TB,2017,10,NYJ,TB,TB,100.0,-120.0,0.5217391304347826
CIN_TEN,2017,10,CIN,TEN,TEN,185.0,-230.0,0.665144596651446
MIN_WAS,2017,10,MIN,WAS,WAS,-115.0,-105.0,0.5108342361863488
SEA_ARI,2017,10,SEA,ARI,SEA,-280.0,230.0,0.7085889570552146
