,season,Week,home,away,favorite,homeML,awayML,favorite_odds
WAS_PHI,2017,7,WAS,PHI,PHI,200,-250,0.681818182
ATL_NE,2017,7,ATL,NE,NE,125,-145,0.571115974
CIN_PIT,2017,7,CIN,PIT,PIT,180,-220,0.658119658
SEA_NYG,2017,7,SEA,NYG,SEA,-210,175,0.650704225
DAL_SF,2017,7,DAL,SF,DAL,-300,240,0.718309859
TB_BUF,2017,7,TB,BUF,BUF,150,-180,0.616438356
CAR_CHI,2017,7,CAR,CHI,CAR,-155,135,0.588211546
TEN_CLE,2017,7,TEN,CLE,TEN,-270,220,0.700162075
NO_GB,2017,7,NO,GB,NO,-200,170,0.642857143
JAC_IND,2017,7,JAC,IND,JAC,-165,142,0.601083848
ARI_LAR,2017,7,ARI,LAR,LAR,145,-170,0.606700655
NYJ_MIA,2017,7,NYJ,MIA,MIA,142,-165,0.601083848
BAL_MIN,2017,7,BAL,MIN,MIN,205,-255,0.686603399
KC_OAK,2017,7,KC,OAK,KC,-155,135,0.588211546
DEN_LAC,2017,7,LAC,DEN,DEN,120,-140,0.55
