,season,Week,home,away,favorite,homeML,awayML,favorite_odds
ATL_SEA,2017,11,ATL,SEA,ATL,-120.0,100.0,0.5217391304347826
PHI_DAL,2017,11,PHI,DAL,PHI,-270.0,220.0,0.7001620745542949
CIN_DEN,2017,11,CIN,DEN,DEN,130.0,-150.0,0.5798319327731092
NE_OAK,2017,11,NE,OAK,NE,-330.0,260.0,0.7342398022249692
BUF_LAC,2017,11,BUF,LAC,LAC,250.0,-310.0,0.725752508361204
DET_CHI,2017,11,DET,CHI,DET,-170.0,145.0,0.6067006554989074
BAL_GB,2017,11,BAL,GB,BAL,-135.0,115.0,0.552594002855783
JAC_CLE,2017,11,JAC,CLE,JAC,-340.0,270.0,0.740871613663133
ARI_HOU,2017,11,ARI,HOU,HOU,115.0,-135.0,0.552594002855783
LAR_MIN,2017,11,LAR,MIN,MIN,110.0,-130.0,0.5427435387673957
WAS_NO,2017,11,WAS,NO,NO,350.0,-450.0,0.7864077669902912
KC_NYG,2017,11,KC,NYG,KC,-450.0,350.0,0.7864077669902912
TB_MIA,2017,11,TB,MIA,TB,-125.0,105.0,0.5324675324675325
TEN_PIT,2017,11,TEN,PIT,PIT,275.0,-350.0,0.7446808510638298
