,season,Week,home,away,favorite,homeML,awayML,favorite_odds
IND_TEN,2017,6,IND,TEN,TEN,250.0,-310.0,0.725752508361204
NYG_DEN,2017,6,NYG,DEN,DEN,600.0,-900.0,0.863013698630137
PIT_KC,2017,6,PIT,KC,KC,160.0,-190.0,0.6301020408163266
LAC_OAK,2017,6,LAC,OAK,OAK,140.0,-160.0,0.5962732919254659
TB_ARI,2017,6,TB,ARI,TB,-145.0,125.0,0.5711159737417943
LAR_JAC,2017,6,LAR,JAC,JAC,100.0,-120.0,0.5217391304347826
MIA_ATL,2017,6,MIA,ATL,ATL,700.0,-1100.0,0.8800000000000001
CHI_BAL,2017,6,CHI,BAL,BAL,190.0,-240.0,0.6718146718146719
CLE_HOU,2017,6,CLE,HOU,HOU,300.0,-400.0,0.7619047619047619
GB_MIN,2017,6,GB,MIN,GB,-165.0,142.0,0.6010838476591901
DET_NO,2017,6,DET,NO,NO,190.0,-240.0,0.6718146718146719
NE_NYJ,2017,6,NE,NYJ,NE,-460.0,355.0,0.7889182058047495
SF_WAS,2017,6,SF,WAS,WAS,425.0,-600.0,0.8181818181818182
PHI_CAR,2017,6,PHI,CAR,CAR,130.0,-150.0,0.5798319327731092
