,season,Week,home,away,favorite,homeML,awayML,favorite_odds
DET_NYG,2017,2,DET,NYG,NYG,140.0,-160.0,0.5962732919254659
GB_ATL,2017,2,GB,ATL,ATL,155.0,-185.0,0.6233894945490586
DAL_DEN,2017,2,DAL,DEN,DAL,-120.0,100.0,0.5217391304347826
WAS_LAR,2017,2,WAS,LAR,LAR,135.0,-155.0,0.5882115462252725
SF_SEA,2017,2,SF,SEA,SEA,800.0,-1401.0,0.8936215450035436
MIA_LAC,2017,2,MIA,LAC,LAC,160.0,-190.0,0.6301020408163266
NYJ_OAK,2017,2,NYJ,OAK,OAK,800.0,-1401.0,0.8936215450035436
CLE_BAL,2017,2,CLE,BAL,BAL,300.0,-400.0,0.7619047619047619
BUF_CAR,2017,2,BUF,CAR,CAR,240.0,-300.0,0.7183098591549295
ARI_IND,2017,2,ARI,IND,ARI,-310.0,250.0,0.725752508361204
TEN_JAC,2017,2,TEN,JAC,TEN,-125.0,105.0,0.5324675324675325
PHI_KC,2017,2,PHI,KC,KC,175.0,-210.0,0.6507042253521127
NE_NO,2017,2,NE,NO,NE,-270.0,220.0,0.7001620745542949
MIN_PIT,2017,2,MIN,PIT,PIT,300.0,-400.0,0.7619047619047619
CHI_TB,2017,2,CHI,TB,TB,260.0,-330.0,0.7342398022249692
HOU_CIN,2017,2,HOU,CIN,CIN,200.0,-250.0,0.6818181818181818
