,season,Week,home,away,favorite,homeML,awayML,favorite_odds
MIN_CHI,2017,5,MIN,CHI,MIN,-200.0,170.0,0.6428571428571429
KC_HOU,2017,5,KC,HOU,KC,-130.0,110.0,0.5427435387673957
GB_DAL,2017,5,GB,DAL,DAL,120.0,-140.0,0.562043795620438
SEA_LAR,2017,5,SEA,LAR,LAR,110.0,-130.0,0.5427435387673957
BAL_OAK,2017,5,BAL,OAK,OAK,130.0,-150.0,0.5798319327731092
BUF_CIN,2017,5,BUF,CIN,CIN,145.0,-170.0,0.6067006554989074
NYJ_CLE,2017,5,NYJ,CLE,NYJ,-125.0,105.0,0.5324675324675325
CAR_DET,2017,5,CAR,DET,DET,110.0,-130.0,0.5427435387673957
SF_IND,2017,5,SF,IND,IND,100.0,-120.0,0.5217391304347826
TEN_MIA,2017,5,TEN,MIA,MIA,100.0,-120.0,0.5217391304347826
LAC_NYG,2017,5,LAC,NYG,NYG,150.0,-180.0,0.6164383561643836
ARI_PHI,2017,5,ARI,PHI,PHI,240.0,-300.0,0.7183098591549295
JAC_PIT,2017,5,JAC,PIT,PIT,280.0,-360.0,0.7483588621444202
NE_TB,2017,5,NE,TB,NE,-200.0,170.0,0.6428571428571429
