,season,Week,home,away,favorite,homeML,awayML,favorite_odds
WAS_KC,2017,4,WAS,KC,KC,260.0,-330.0,0.7342398022249692
IND_SEA,2017,4,IND,SEA,SEA,650.0,-1000.0,0.8720930232558138
OAK_DEN,2017,4,OAK,DEN,DEN,220.0,-280.0,0.702194357366771
SF_ARI,2017,4,SF,ARI,ARI,230.0,-280.0,0.7085889570552146
PHI_LAC,2017,4,PHI,LAC,LAC,110.0,-130.0,0.5427435387673957
NYG_TB,2017,4,NYG,TB,TB,120.0,-140.0,0.562043795620438
BUF_ATL,2017,4,BUF,ATL,ATL,340.0,-440.0,0.7819063004846527
PIT_BAL,2017,4,PIT,BAL,PIT,-190.0,160.0,0.6301020408163266
CIN_CLE,2017,4,CIN,CLE,CIN,-185.0,155.0,0.6233894945490586
LAR_DAL,2017,4,LAR,DAL,DAL,210.0,-260.0,0.6912521440823327
TEN_HOU,2017,4,TEN,HOU,TEN,-140.0,120.0,0.562043795620438
DET_MIN,2017,4,DET,MIN,MIN,130.0,-150.0,0.5798319327731092
CAR_NE,2017,4,CAR,NE,NE,400.0,-550.0,0.8088235294117646
JAC_NYJ,2017,4,JAC,NYJ,JAC,-230.0,185.0,0.665144596651446
NO_MIA,2017,4,NO,MIA,NO,-210.0,175.0,0.6507042253521127
CHI_GB,2017,4,CHI,GB,GB,320.0,-420.0,0.7723292469352013
