,season,Week,home,away,favorite,homeML,awayML,favorite_odds
CAR_ATL,2017,17,CAR,ATL,ATL,180.0,-220.0,0.6581196581196581
CIN_BAL,2017,17,CIN,BAL,BAL,350.0,-450.0,0.7864077669902912
BUF_MIA,2017,17,BUF,MIA,BUF,-145.0,125.0,0.5711159737417943
NO_TB,2017,17,NO,TB,NO,-330.0,260.0,0.7342398022249692
JAC_TEN,2017,17,JAC,TEN,TEN,130.0,-150.0,0.5798319327731092
KC_DEN,2017,17,KC,DEN,DEN,130.0,-150.0,0.5798319327731092
OAK_LAC,2017,17,OAK,LAC,LAC,260.0,-330.0,0.7342398022249692
SF_LAR,2017,17,SF,LAR,SF,-260.0,210.0,0.6912521440823327
ARI_SEA,2017,17,ARI,SEA,SEA,300.0,-400.0,0.7619047619047619
GB_DET,2017,17,GB,DET,DET,300.0,-400.0,0.7619047619047619
HOU_IND,2017,17,HOU,IND,IND,210.0,-260.0,0.6912521440823327
CHI_MIN,2017,17,CHI,MIN,MIN,650.0,-1000.0,0.8720930232558138
NYJ_NE,2017,17,NYJ,NE,NE,1200.0,-3003.0,0.9263679939253002
WAS_NYG,2017,17,WAS,NYG,WAS,-240.0,190.0,0.6718146718146719
DAL_PHI,2017,17,DAL,PHI,DAL,-210.0,175.0,0.6507042253521127
CLE_PIT,2017,17,CLE,PIT,PIT,178.0,-215.0,0.6548701654431905
