,season,Week,home,away,favorite,homeML,awayML,favorite_odds
NE_MIA,2017,14,NE,MIA,NE,-600.0,425.0,0.8181818181818182
BAL_PIT,2017,14,BAL,PIT,PIT,220.0,-270.0,0.7001620745542949
SEA_JAC,2017,14,SEA,JAC,JAC,125.0,-145.0,0.5711159737417943
PHI_LAR,2017,14,PHI,LAR,LAR,105.0,-125.0,0.5324675324675325
TEN_ARI,2017,14,TEN,ARI,TEN,-150.0,130.0,0.5798319327731092
NYJ_DEN,2017,14,NYJ,DEN,DEN,-115.0,-105.0,0.5108342361863488
WAS_LAC,2017,14,WAS,LAC,LAC,235.0,-290.0,0.7135512302607419
IND_BUF,2017,14,IND,BUF,BUF,160.0,-190.0,0.6301020408163266
MIN_CAR,2017,14,MIN,CAR,MIN,-135.0,115.0,0.552594002855783
CHI_CIN,2017,14,CHI,CIN,CIN,215.0,-265.0,0.6957699520733487
GB_CLE,2017,14,GB,CLE,GB,-140.0,120.0,0.562043795620438
SF_HOU,2017,14,SF,HOU,HOU,110.0,-130.0,0.5427435387673957
OAK_KC,2017,14,OAK,KC,KC,185.0,-230.0,0.665144596651446
DET_TB,2017,14,DET,TB,TB,-110.0,-110.0,0.5
DAL_NYG,2017,14,DAL,NYG,DAL,-210.0,175.0,0.6507042253521127
NO_ATL,2017,14,NO,ATL,ATL,120.0,-140.0,0.562043795620438
