,season,Week,home,away,favorite,homeML,awayML,favorite_odds
ATL_TB,2017,15,ATL,TB,ATL,-350.0,275.0,0.7446808510638298
DAL_OAK,2017,15,DAL,OAK,DAL,-160.0,140.0,0.5962732919254659
NE_PIT,2017,15,NE,PIT,NE,-125.0,105.0,0.5324675324675325
TEN_SF,2017,15,TEN,SF,SF,115.0,-135.0,0.552594002855783
LAR_SEA,2017,15,LAR,SEA,SEA,-110.0,-110.0,0.5
MIA_BUF,2017,15,MIA,BUF,BUF,160.0,-190.0,0.6301020408163266
GB_CAR,2017,15,GB,CAR,CAR,130.0,-150.0,0.5798319327731092
BAL_CLE,2017,15,BAL,CLE,BAL,-310.0,250.0,0.725752508361204
HOU_JAC,2017,15,HOU,JAC,JAC,425.0,-600.0,0.8181818181818182
CIN_MIN,2017,15,CIN,MIN,MIN,600.0,-900.0,0.863013698630137
NYJ_NO,2017,15,NYJ,NO,NO,950.0,-1799.0,0.9086514178512158
PHI_NYG,2017,15,PHI,NYG,PHI,-400.0,300.0,0.7619047619047619
ARI_WAS,2017,15,ARI,WAS,WAS,180.0,-220.0,0.6581196581196581
LAC_KC,2017,15,LAC,KC,KC,-110.0,-110.0,0.5
CHI_DET,2017,15,CHI,DET,DET,190.0,-240.0,0.6718146718146719
DEN_IND,2017,15,DEN,IND,DEN,-145.0,125.0,0.5711159737417943
