,season,Week,home,away,favorite,homeML,awayML,favorite_odds
PIT_CIN,2017,13,PIT,CIN,PIT,-220.0,180.0,0.6581196581196581
PHI_SEA,2017,13,PHI,SEA,PHI,-220.0,180.0,0.6581196581196581
CAR_NO,2017,13,CAR,NO,NO,220.0,-270.0,0.7001620745542949
LAR_ARI,2017,13,LAR,ARI,LAR,-340.0,270.0,0.740871613663133
NYG_OAK,2017,13,NYG,OAK,OAK,360.0,-470.0,0.7913616398243045
CLE_LAC,2017,13,CLE,LAC,LAC,700.0,-1100.0,0.8800000000000001
MIN_ATL,2017,13,MIN,ATL,ATL,110.0,-130.0,0.5427435387673957
DET_BAL,2017,13,DET,BAL,BAL,120.0,-140.0,0.562043795620438
NE_BUF,2017,13,NE,BUF,NE,-410.0,310.0,0.7672295755362848
SF_CHI,2017,13,SF,CHI,CHI,120.0,-140.0,0.562043795620438
TB_GB,2017,13,TB,GB,GB,145.0,-170.0,0.6067006554989074
IND_JAC,2017,13,IND,JAC,JAC,375.0,-500.0,0.7983193277310925
DEN_MIA,2017,13,DEN,MIA,DEN,-125.0,105.0,0.5324675324675325
KC_NYJ,2017,13,KC,NYJ,KC,-220.0,180.0,0.6581196581196581
HOU_TEN,2017,13,HOU,TEN,TEN,260.0,-330.0,0.7342398022249692
WAS_DAL,2017,13,WAS,DAL,WAS,-125.0,105.0,0.5324675324675325
